## EBV sequence (NC_007605.1) proportion in each contig was detected by blastn.
## Output columns description:
## [0] Reference_ID: Contig names
## [1] Total_Length: The length of contig sequence (bp)
## [2] Covered_Length: Total non-overlapping bases covered by EBV
## [3] Coverage(%): Percentage of contig sequence covered (Covered_Length/Total_Length)
## [4] Average_Identity(%): Weighted average identity of all aligned segments
#Reference_ID	Total_Length	Covered_Length	Coverage(%)	Average_Identity(%)
HIFI032693D#1#h1tg000441l	28388	28388	100.00%	99.72%
HIFI032693D#1#h1tg000400l	43835	43833	100.00%	97.08%
HIFI032693D#1#h1tg000401l	43120	43120	100.00%	99.34%
HIFI032693D#1#h1tg000283l	34758	34758	100.00%	99.89%
HIFI032693D#1#h1tg000355l	32036	32036	100.00%	99.81%
HIFI032693D#1#h1tg000417l	22083	22083	100.00%	99.98%
HIFI032693D#1#h1tg000393l	28984	28984	100.00%	97.79%
HIFI032693D#1#h1tg000343l	26636	26636	100.00%	99.97%
HIFI032693D#1#h1tg000468l	40316	40316	100.00%	99.43%
HIFI032693D#1#h1tg000473l	29442	29442	100.00%	99.49%
HIFI032693D#1#h1tg000439l	31852	31852	100.00%	99.86%
HIFI032693D#1#h1tg000073l	28546	28546	100.00%	94.47%
HIFI032693D#1#h1tg000419l	34282	34282	100.00%	99.56%
HIFI032693D#1#h1tg000320l	22458	22458	100.00%	99.11%
HIFI032693D#1#h1tg000366l	32771	32771	100.00%	99.89%
HIFI032693D#1#h1tg000411l	17917	17917	100.00%	99.82%
HIFI032693D#1#h1tg000442l	24236	24236	100.00%	99.75%
HIFI032693D#1#h1tg000427l	27534	27534	100.00%	99.82%
HIFI032693D#1#h1tg000382l	27799	27799	100.00%	99.77%
HIFI032693D#1#h1tg000448l	21291	21291	100.00%	99.81%
HIFI032693D#1#h1tg000361l	27027	27027	100.00%	99.33%
HIFI032693D#1#h1tg000377l	29315	29315	100.00%	94.77%
HIFI032693D#1#h1tg000445l	30280	30280	100.00%	95.43%
HIFI032693D#1#h1tg000406l	30007	30007	100.00%	94.98%
HIFI032693D#1#h1tg000181l	42055	42055	100.00%	97.78%
HIFI032693D#1#h1tg000347l	27407	27407	100.00%	99.90%
HIFI032693D#1#h1tg000392l	29598	29598	100.00%	99.91%
HIFI032693D#1#h1tg000452l	29770	29770	100.00%	95.47%
HIFI032693D#1#h1tg000432l	31937	31937	100.00%	96.23%
HIFI032693D#2#h2tg000245l	68780	68780	100.00%	99.65%
HIFI032693D#2#h2tg000251l	43062	43062	100.00%	99.91%
HIFI032693D#2#h2tg000307l	46656	46656	100.00%	99.61%
HIFI032693D#2#h2tg000310l	37380	37380	100.00%	99.44%
HIFI032693D#2#h2tg000237l	36405	36405	100.00%	99.47%
HIFI032693D#2#h2tg000312l	36823	36823	100.00%	99.91%
HIFI032693D#2#h2tg000301l	35886	35886	100.00%	99.95%
HIFI032693D#2#h2tg000279l	31320	31320	100.00%	99.92%
HIFI032693D#2#h2tg000254l	32803	32803	100.00%	99.84%
HIFI032693D#2#h2tg000299l	35980	35980	100.00%	99.98%
HIFI032693D#2#h2tg000272l	39678	39678	100.00%	99.99%
HIFI032693D#2#h2tg000313l	33479	33479	100.00%	97.55%
HIFI032693D#2#h2tg000304l	29745	29745	100.00%	99.49%
HIFI032693D#2#h2tg000271l	33571	33571	100.00%	99.81%
HIFI032693D#2#h2tg000309l	21680	21680	100.00%	99.82%
HIFI032693D#2#h2tg000282l	33404	33404	100.00%	99.82%
HIFI032693D#2#h2tg000314l	25468	25468	100.00%	99.81%
HIFI032693D#2#h2tg000300l	43835	43833	100.00%	97.08%
HIFI032693D#2#h2tg000311l	29770	29770	100.00%	95.47%
HIFI032698D#1#h1tg000286l	229403	229403	100.00%	99.03%
HIFI032698D#1#h1tg000413l	65716	65716	100.00%	99.85%
HIFI032698D#1#h1tg000510l	55161	55161	100.00%	98.78%
HIFI032698D#1#h1tg000409l	108858	108858	100.00%	99.42%
HIFI032698D#1#h1tg000520l	43450	43450	100.00%	98.20%
HIFI032698D#2#h2tg000372l	271922	271922	100.00%	99.24%
HIFI032698D#2#h2tg000006l	88047448	590	0.00%	99.16%
HIFI032706D#1#h1tg000261c	184526	184526	100.00%	99.33%
HIFI032711D#1#h1tg000219c	165880	165880	100.00%	99.10%
HIFI032711D#1#h1tg000222l	804102	375	0.05%	100.00%
HIFI032711D#2#h2tg000313c	160463	160463	100.00%	98.98%
HIFI032721D#1#h1tg001430c	178168	178168	100.00%	99.24%
HIFI032721D#1#h1tg001911l	31004	31004	100.00%	99.48%
HIFI032721D#2#h2tg001795c	177662	177662	100.00%	99.23%
HIFI032721D#2#h2tg002446l	121325	1819	1.50%	98.90%
HIFI032721D#2#h2tg000729l	1984241	762	0.04%	99.74%
HIFI032731D#1#h1tg000571c	184866	184866	100.00%	99.29%
HIFI032731D#2#h2tg000569c	146777	146777	100.00%	98.77%
